"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ELECTRICITY","TOT","GWH","A","2006",61228,
"AUT","ELECTRICITY","TOT","GWH","A","2007",61810,
"AUT","ELECTRICITY","TOT","GWH","A","2008",63589,
"AUT","ELECTRICITY","TOT","GWH","A","2009",66032,
"AUT","ELECTRICITY","TOT","GWH","A","2010",67709,
"AUT","ELECTRICITY","TOT","GWH","A","2011",62592,
"AUT","ELECTRICITY","TOT","GWH","A","2012",69525,
"AUT","ELECTRICITY","TOT","GWH","A","2013",65260,
"AUT","ELECTRICITY","TOT","GWH","A","2014",62248,
"AUT","ELECTRICITY","TOT","GWH","A","2015",61928,
"AUT","ELECTRICITY","TOT","GWH","A","2016",64961,
"AUT","ELECTRICITY","TOT","GWH","A","2017",68093.595,
"AUT","ELECTRICITY","TOT","GWH","A","2018",65383.711,
"AUT","ELECTRICITY","TOT","GWH","A","2019",71101.13,
"AUT","ELECTRICITY","TOT","GWH","A","2020",69591.408,
"AUT","ELECTRICITY","TOT","GWH","A","2021",68084.269,
"AUT","ELECTRICITY","TOT","GWH","A","2022",,"L"
"BEL","ELECTRICITY","TOT","GWH","A","1990",67266,
"BEL","ELECTRICITY","TOT","GWH","A","1991",68118,
"BEL","ELECTRICITY","TOT","GWH","A","1992",68348,
"BEL","ELECTRICITY","TOT","GWH","A","1993",67097,
"BEL","ELECTRICITY","TOT","GWH","A","1994",68509,
"BEL","ELECTRICITY","TOT","GWH","A","1995",70612,
"BEL","ELECTRICITY","TOT","GWH","A","1996",72315,
"BEL","ELECTRICITY","TOT","GWH","A","1997",75023,
"BEL","ELECTRICITY","TOT","GWH","A","1998",79436,
"BEL","ELECTRICITY","TOT","GWH","A","1999",80844,
"BEL","ELECTRICITY","TOT","GWH","A","2000",80266,
"BEL","ELECTRICITY","TOT","GWH","A","2001",76216,
"BEL","ELECTRICITY","TOT","GWH","A","2002",78147,
"BEL","ELECTRICITY","TOT","GWH","A","2003",80858,
"BEL","ELECTRICITY","TOT","GWH","A","2004",80705,
"BEL","ELECTRICITY","TOT","GWH","A","2005",82310,
"BEL","ELECTRICITY","TOT","GWH","A","2006",81161,
"BEL","ELECTRICITY","TOT","GWH","A","2007",84581,
"BEL","ELECTRICITY","TOT","GWH","A","2008",81082,
"BEL","ELECTRICITY","TOT","GWH","A","2009",87661,
"BEL","ELECTRICITY","TOT","GWH","A","2010",91007,
"BEL","ELECTRICITY","TOT","GWH","A","2011",87121,
"BEL","ELECTRICITY","TOT","GWH","A","2012",79932,
"BEL","ELECTRICITY","TOT","GWH","A","2013",80300,
"BEL","ELECTRICITY","TOT","GWH","A","2014",69818,
"BEL","ELECTRICITY","TOT","GWH","A","2015",67380,
"BEL","ELECTRICITY","TOT","GWH","A","2016",82403,
"BEL","ELECTRICITY","TOT","GWH","A","2017",83125.3,
"BEL","ELECTRICITY","TOT","GWH","A","2018",72070.6,
"BEL","ELECTRICITY","TOT","GWH","A","2019",89940,
"BEL","ELECTRICITY","TOT","GWH","A","2020",86123.9,
"BEL","ELECTRICITY","TOT","GWH","A","2021",96625.1,
"BEL","ELECTRICITY","TOT","GWH","A","2022",,"L"
"CAN","ELECTRICITY","TOT","GWH","A","1990",468125,
